original_idx,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0,-2.199511571304455,18.0,2.31,0,0.5379999999999999,6.575,65.2,4.09,1,296,-1.3957494537580664,396.9,1.938256611743444,24.0
1,-1.3769912327958165,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,-0.5258182504646595,396.9,2.8769825258277377,21.6
2,-1.3773906532776234,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242,-0.5258182504646595,392.83,1.6403874956810713,34.7
3,-1.2846611708912632,0.0,2.18,0,0.45799999999999996,6.9979999999999976,45.8,6.0622,3,222,-0.08999868753999354,394.63,1.222396393474077,33.4
4,-0.8816361039558303,0.0,2.18,0,0.45799999999999996,7.147,54.2,6.0622,3,222,-0.08999868753999354,396.9,2.0369245470719317,36.2
5,-1.3285991640072043,0.0,2.18,0,0.45799999999999996,6.43,58.7,6.0622,3,222,-0.08999868753999354,394.12,2.003674797646323,28.7
6,-0.7539302199856693,12.5,7.87,0,0.524,6.0120000000000005,66.6,5.5605,5,311,-1.4222575652151794,395.6,3.404145974000547,22.9
7,-0.5024332247641144,12.5,7.87,0,0.524,6.1720000000000015,96.1,5.9505,5,311,-1.4222575652151794,396.9,4.21047142468078,27.1
8,-0.3132184007520897,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311,-1.4222575652151794,386.63,5.131320013273121,16.5
9,-0.42096494219846803,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,-1.4222575652151794,386.71,3.991499850803411,18.9
10,-0.2823551244825927,12.5,7.87,0,0.524,6.3770000000000024,94.3,6.3467,5,311,-1.4222575652151794,392.52,4.340106637610752,15.0
11,-0.6074937575661692,12.5,7.87,0,0.524,6.0089999999999995,82.9,6.2267,5,311,-1.4222575652151794,396.9,3.52111044983175,18.9
12,-0.7228213449559038,12.5,7.87,0,0.524,5.888999999999999,39.0,5.4509,5,311,-1.4222575652151794,390.5,3.831194347771766,21.7
13,0.20988168227757936,0.0,8.14,0,0.5379999999999999,5.949,61.8,4.7075,4,307,1.4512461652389805,396.9,2.711325869538903,20.4
14,0.21587931453112355,0.0,8.14,0,0.5379999999999999,6.096,84.5,4.4619,4,307,1.4512461652389805,380.02,3.0708617657640547,18.2
15,0.20813278661406612,0.0,8.14,0,0.5379999999999999,5.834,56.5,4.4986,4,307,1.4512461652389805,395.62,2.752052323681203,19.9
16,0.44498750441427565,0.0,8.14,0,0.5379999999999999,5.935,29.3,4.4986,4,307,1.4512461652389805,386.85,2.352873673936957,23.1
17,0.3109289754741666,0.0,8.14,0,0.5379999999999999,5.99,81.7,4.2579,4,307,1.4512461652389805,386.75,3.7039284586336088,17.5
18,0.3215978489870174,0.0,8.14,0,0.5379999999999999,5.456,36.6,3.7965,4,307,1.4512461652389805,288.99,3.2959344979944953,20.2
19,0.27542816205317966,0.0,8.14,0,0.5379999999999999,5.727,69.5,3.7965,4,307,1.4512461652389805,390.95,3.2336833061733574,18.2
20,0.5218784317181591,0.0,8.14,0,0.5379999999999999,5.57,98.1,3.7979,4,307,1.4512461652389805,376.57,4.394945917959156,13.6
21,0.34880253275703516,0.0,8.14,0,0.5379999999999999,5.965,89.2,4.0123,4,307,1.4512461652389805,392.53,3.5959463305615773,19.6
22,0.5149611785275265,0.0,8.14,0,0.5379999999999999,6.142,91.7,3.9769,4,307,1.4512461652389805,396.9,4.166096740265133,15.2
23,0.4160990047704366,0.0,8.14,0,0.5379999999999999,5.813,100.0,4.0952,4,307,1.4512461652389805,394.54,4.284073966740078,14.5
24,0.29065344957716155,0.0,8.14,0,0.5379999999999999,5.9239999999999995,94.1,4.3996,4,307,1.4512461652389805,394.33,3.900524178378976,15.6
25,0.3426127564494292,0.0,8.14,0,0.5379999999999999,5.599,85.7,4.4546,4,307,1.4512461652389805,303.42,3.9247333014662806,13.9
26,0.23986995799748442,0.0,8.14,0,0.5379999999999999,5.813,90.3,4.6819999999999995,4,307,1.4512461652389805,376.88,3.7214583160520016,16.6
27,0.4009247630799143,0.0,8.14,0,0.5379999999999999,6.0470000000000015,88.8,4.4534,4,307,1.4512461652389805,306.38,4.011514817886842,14.8
28,0.30433694526153543,0.0,8.14,0,0.5379999999999999,6.495,94.4,4.4547,4,307,1.4512461652389805,387.94,3.456395453579964,18.4
29,0.4224502039824784,0.0,8.14,0,0.5379999999999999,6.6739999999999995,87.3,4.239,4,307,1.4512461652389805,380.23,3.3389551826529553,21.0
30,0.47655439219522805,0.0,8.14,0,0.5379999999999999,5.712999999999999,94.1,4.2330000000000005,4,307,1.4512461652389805,360.17,4.541174928217068,12.7
31,0.5569154958269448,0.0,8.14,0,0.5379999999999999,6.072,100.0,4.175,4,307,1.4512461652389805,376.73,3.4896665116896526,14.5
32,0.5676379884379749,0.0,8.14,0,0.5379999999999999,5.95,82.0,3.99,4,307,1.4512461652389805,232.6,4.965637493689695,13.2
33,0.4847461947142814,0.0,8.14,0,0.5379999999999999,5.7010000000000005,95.0,3.7872,4,307,1.4512461652389805,358.77,4.127279349552924,13.1
34,0.6336214563848014,0.0,8.14,0,0.5379999999999999,6.096,96.9,3.7598,4,307,1.4512461652389805,248.31,4.329388077056559,13.5
35,-0.9200107732081769,0.0,5.96,0,0.499,5.933,68.2,3.3603,5,279,0.18798563778556404,396.9,2.9726221070375938,18.9
36,-0.7031261240658577,0.0,5.96,0,0.499,5.841,61.4,3.3779,5,279,0.18798563778556404,377.56,3.253608022624308,20.0
37,-0.8040687498170104,0.0,5.96,0,0.499,5.85,41.5,3.9342,5,279,0.18798563778556404,396.9,2.8089012173871035,21.0
38,-0.4064718933183756,0.0,5.96,0,0.499,5.966,30.2,3.8473,5,279,0.18798563778556404,393.43,3.049222732462062,24.7
39,-1.3706416879202195,75.0,2.95,0,0.428,6.595,21.8,5.4011,3,252,-0.2933486421586383,395.63,1.7365988567837962,30.8
40,-1.2646565054581798,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252,-0.2933486421586383,395.62,0.7391040172505853,34.9
41,-0.5661032155704446,0.0,6.91,0,0.44799999999999995,6.77,2.9,5.7209,3,233,-0.48115598692927425,385.41,1.8972859958424626,26.6
42,-0.513182139115341,0.0,6.91,0,0.44799999999999995,6.169,6.6,5.7209,3,233,-0.48115598692927425,383.37,2.1644073404381743,25.3
43,-0.45342129571402257,0.0,6.91,0,0.44799999999999995,6.211,6.5,5.7209,3,233,-0.48115598692927425,394.46,2.5442026348977014,24.7
44,-0.5853816233829169,0.0,6.91,0,0.44799999999999995,6.069,40.0,5.7209,3,233,-0.48115598692927425,389.39,2.949981797288204,21.2
45,-0.4169284310081837,0.0,6.91,0,0.44799999999999995,5.682,33.8,5.1004,3,233,-0.48115598692927425,396.9,3.062564255473875,19.3
46,-0.3699947968306511,0.0,6.91,0,0.44799999999999995,5.7860000000000005,33.3,5.1004,3,233,-0.48115598692927425,396.9,3.6376644869391375,20.0
47,-0.2728688667279097,0.0,6.91,0,0.44799999999999995,6.03,85.5,5.6894,3,233,-0.48115598692927425,392.74,4.174411668322588,16.6
48,-0.22290983716579485,0.0,6.91,0,0.44799999999999995,5.399,95.3,5.87,3,233,-0.48115598692927425,396.9,5.194373807466868,14.4
49,-0.29369420124998996,0.0,6.91,0,0.44799999999999995,5.602,62.0,6.0877,3,233,-0.48115598692927425,396.9,3.888911284490716,19.4
50,-0.7513631251048318,21.0,5.64,0,0.439,5.962999999999999,45.7,6.8147,4,243,-0.9267037546994666,395.56,3.5454264712589225,19.7
51,-1.1273795695103155,21.0,5.64,0,0.439,6.115,63.0,6.8147,4,243,-0.9267037546994666,393.97,2.9288708195668693,20.5
52,-1.0148115783672296,21.0,5.64,0,0.439,6.511,21.1,6.8147,4,243,-0.9267037546994666,396.9,2.023141459983595,25.0
53,-1.053666152234881,21.0,5.64,0,0.439,5.9979999999999976,21.4,6.8147,4,243,-0.9267037546994666,396.9,2.7443554997617063,23.4
54,-1.7627612015451475,75.0,4.0,0,0.41,5.888,47.6,7.3197,3,469,1.5355294497785872,396.9,3.7202104371443276,18.9
55,-1.7833746392595795,90.0,1.22,0,0.40299999999999997,7.249,21.9,8.6966,5,226,-0.48115598692927425,395.93,1.8883877729514986,35.4
56,-1.5329922218887975,85.0,0.74,0,0.41,6.382999999999999,35.7,9.1876,2,313,-0.7362553843434029,396.9,2.1541012037201885,24.7
57,-1.733833237768708,100.0,1.32,0,0.41100000000000003,6.816,40.5,8.3248,5,256,-1.4482334322466932,392.9,1.6129079807191822,31.6
58,-0.46911937058358594,25.0,5.13,0,0.45299999999999996,6.145,29.2,7.8148,8,284,0.49495561562927587,390.68,2.4171838181589904,23.3
59,-0.6732542038213762,25.0,5.13,0,0.45299999999999996,5.9270000000000005,47.2,6.932,8,284,0.49495561562927587,396.9,2.8914220649177595,19.6
60,-0.48609197779633684,25.0,5.13,0,0.45299999999999996,5.7410000000000005,66.2,7.2254,8,284,0.49495561562927587,395.11,3.504757897122546,18.7
61,-0.41608452947911245,25.0,5.13,0,0.45299999999999996,5.966,93.4,6.8185,8,284,0.49495561562927587,378.08,3.674846875720457,16.0
62,-0.6397493500506618,25.0,5.13,0,0.45299999999999996,6.456,67.8,7.2255,8,284,0.49495561562927587,396.9,2.3875826697574847,22.2
63,-0.5698577017588957,25.0,5.13,0,0.45299999999999996,6.7620000000000005,43.4,7.9809,8,284,0.49495561562927587,395.58,2.941210593439117,25.0
64,-1.5616839750059799,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,-0.1423608133519389,393.24,2.6697918090270023,33.0
65,-1.2296773194437516,80.0,3.37,0,0.39799999999999996,6.29,17.8,6.6115,4,337,-1.163237354078121,396.9,1.8462868559660297,23.5
66,-1.1222331553355689,80.0,3.37,0,0.39799999999999996,5.787000000000001,31.1,6.6115,4,337,-1.163237354078121,396.9,3.0675465168604403,19.4
67,-0.9741590999849273,12.5,6.07,0,0.409,5.877999999999999,21.4,6.4979999999999976,4,345,0.017896579289068827,396.21,2.679756088281482,22.0
68,-0.5349083514231731,12.5,6.07,0,0.409,5.593999999999999,36.8,6.4979999999999976,4,345,0.017896579289068827,396.9,3.4965383709715705,17.4
69,-0.5632470740784973,12.5,6.07,0,0.409,5.885,33.0,6.4979999999999976,4,345,0.017896579289068827,396.9,2.812637441093827,20.9
70,-0.7541057376831465,0.0,10.81,0,0.413,6.4170000000000025,6.6,5.2873,4,305,0.18798563778556404,383.73,2.3852874246994733,24.2
71,-0.45531208840364956,0.0,10.81,0,0.413,5.961,17.5,5.2873,4,305,0.18798563778556404,376.94,3.006999138640917,21.7
72,-0.7347144745964789,0.0,10.81,0,0.413,6.065,7.8,5.2873,4,305,0.18798563778556404,390.91,2.0884066805994768,22.8
73,-0.35180923728404684,0.0,10.81,0,0.413,6.245,6.2,5.2873,4,305,0.18798563778556404,377.17,2.565322980459282,23.4
74,-0.811768850979969,0.0,12.83,0,0.4370000000000001,6.273,6.0,4.2515,5,398,-0.08999868753999354,394.92,2.399019550479574,24.1
75,-0.7155183753059148,0.0,12.83,0,0.4370000000000001,6.2860000000000005,45.0,4.5026,5,398,-0.08999868753999354,383.23,2.840451854344189,21.4
76,-0.6820155421212598,0.0,12.83,0,0.4370000000000001,6.279,74.5,4.0522,5,398,-0.08999868753999354,373.66,3.337485172027718,20.0
77,-0.7611188889095482,0.0,12.83,0,0.4370000000000001,6.14,45.8,4.0905,5,398,-0.08999868753999354,386.96,3.0725175190962477,20.8
78,-0.9873491235916838,0.0,12.83,0,0.4370000000000001,6.232,53.7,5.0141,5,398,-0.08999868753999354,386.4,3.3912553525424505,21.2
79,-0.7804882842752118,0.0,12.83,0,0.4370000000000001,5.874,36.6,4.5026,5,398,-0.08999868753999354,396.06,2.8697261272768904,20.3
80,-1.1557379079670795,25.0,4.86,0,0.426,6.727,33.5,5.4007,4,281,0.07347176734476896,396.9,2.0259061163126275,28.0
81,-1.1122129270107879,25.0,4.86,0,0.426,6.619,70.4,5.4007,4,281,0.07347176734476896,395.63,2.4969546301392596,23.9
82,-1.2185253071485933,25.0,4.86,0,0.426,6.3020000000000005,32.2,5.4007,4,281,0.07347176734476896,396.9,2.3852874246994733,24.8
83,-1.2346616661840455,25.0,4.86,0,0.426,6.1670000000000025,46.7,5.4007,4,281,0.07347176734476896,390.64,2.559009705208852,22.9
84,-1.045422459329649,0.0,4.49,0,0.449,6.388999999999999,48.0,4.7794,3,247,-0.19369326102571494,396.9,2.96220209812947,23.9
85,-0.9790994476625662,0.0,4.49,0,0.449,6.63,56.1,4.4377,3,247,-0.19369326102571494,392.3,2.3411682441639794,26.6
86,-1.0320762190960246,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247,-0.19369326102571494,395.99,3.4647580859531923,22.5
87,-0.8633553624695299,0.0,4.49,0,0.449,6.121,56.8,3.7476,3,247,-0.19369326102571494,395.15,2.746282345343656,22.2
88,-0.9860424364516126,0.0,3.41,0,0.489,7.0070000000000014,86.3,3.4217,2,270,-0.5258182504646595,396.9,2.083052551080709,23.6
89,-1.0205677656691736,0.0,3.41,0,0.489,7.079,63.1,3.4145,2,270,-0.5258182504646595,396.06,2.135931934117349,28.7
90,-1.0863410909854228,0.0,3.41,0,0.489,6.4170000000000025,66.1,3.0923,2,270,-0.5258182504646595,392.18,2.8163671057470543,22.6
91,-1.1798578952645071,0.0,3.41,0,0.489,6.405,73.9,3.0921,2,270,-0.5258182504646595,393.55,2.6995430034107866,22.0
92,-1.1441543544060353,28.0,15.04,0,0.46399999999999997,6.442,53.6,3.6659,4,270,-0.3417103409235555,395.01,2.6916507195276225,22.9
93,-1.3490074434551387,28.0,15.04,0,0.46399999999999997,6.211,28.9,3.6659,4,270,-0.3417103409235555,396.33,2.264568065528535,25.0
94,-1.1327027835699968,28.0,15.04,0,0.46399999999999997,6.249,77.3,3.615,4,270,-0.3417103409235555,396.9,3.124855976890279,20.6
95,-0.5880805925377928,0.0,2.89,0,0.445,6.625,57.8,3.4952,2,276,-0.43559577198681326,357.98,2.3691464215786486,28.4
96,-0.6181421103473947,0.0,2.89,0,0.445,6.162999999999999,69.6,3.4952,2,276,-0.43559577198681326,391.83,3.2429012434413282,21.4
97,-0.5931453046775619,0.0,2.89,0,0.445,8.068999999999999,76.0,3.4952,2,276,-0.43559577198681326,396.9,1.700709545378902,38.7
98,-0.7929919276805514,0.0,2.89,0,0.445,7.82,36.9,3.4952,2,276,-0.43559577198681326,393.53,1.4761798150103773,43.8
99,-0.8850538985948949,0.0,2.89,0,0.445,7.416,62.5,3.4952,2,276,-0.43559577198681326,396.9,2.259680196795157,33.2
100,-0.4883200270767434,0.0,8.56,0,0.52,6.727,79.9,2.7778,5,384,1.3686186004260046,394.76,2.927102225471608,27.5
101,-0.6213426044254576,0.0,8.56,0,0.52,6.7810000000000015,71.3,2.8561,5,384,1.3686186004260046,395.58,2.592458430042027,26.5
102,-0.27396355536165395,0.0,8.56,0,0.52,6.405,85.4,2.7147,5,384,1.3686186004260046,70.8,3.131312065072595,18.6
103,-0.3123543975860792,0.0,8.56,0,0.52,6.1370000000000005,87.4,2.7147,5,384,1.3686186004260046,394.47,3.5440821949874555,19.3
104,-0.5200020927296111,0.0,8.56,0,0.52,6.1670000000000025,90.0,2.421,5,384,1.3686186004260046,392.69,3.389818584178768,20.1
105,-0.5459223463226683,0.0,8.56,0,0.52,5.851,96.7,2.1069,5,384,1.3686186004260046,394.05,3.9201404475985075,19.5
106,-0.4175696354812448,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384,1.3686186004260046,395.67,4.15984251803158,19.5
107,-0.5514867523650652,0.0,8.56,0,0.52,6.1270000000000024,85.2,2.1224,5,384,1.3686186004260046,387.69,3.629898228752448,20.4
108,-0.5638011117563145,0.0,8.56,0,0.52,6.474,97.1,2.4329,5,384,1.3686186004260046,395.24,3.3811790257145096,19.8
109,-0.2044895058216086,0.0,8.56,0,0.52,6.229,91.2,2.5451,5,384,1.3686186004260046,391.23,3.812047005755567,19.4
110,-0.650710911866936,0.0,8.56,0,0.52,6.195,54.4,2.7778,5,384,1.3686186004260046,393.49,3.4841543588369412,21.7
111,-0.6855136792407429,0.0,10.01,0,0.547,6.715,81.6,2.6775,6,432,-0.5258182504646595,395.59,3.0542353065201273,22.8
112,-0.5829035720280578,0.0,10.01,0,0.547,5.912999999999999,92.9,2.3534,6,432,-0.5258182504646595,394.95,3.8900750609073738,18.8
113,-0.28845553492431375,0.0,10.01,0,0.547,6.0920000000000005,95.4,2.548,6,432,-0.5258182504646595,396.9,3.9903831463305646,18.7
114,-0.5103039158580429,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432,-0.5258182504646595,388.74,3.1021103182035046,18.5
115,-0.41716149597107477,0.0,10.01,0,0.547,5.928,88.2,2.4631,6,432,-0.5258182504646595,344.91,3.8371470025580674,18.3
116,-0.5499068361545912,0.0,10.01,0,0.547,6.176,72.5,2.7301,6,432,-0.5258182504646595,393.3,3.34775540269668,21.2
117,-0.48053358425667514,0.0,10.01,0,0.547,6.021,82.6,2.7474,6,432,-0.5258182504646595,394.51,3.077477320403506,19.2
118,-0.553769425197108,0.0,10.01,0,0.547,5.872000000000001,73.1,2.4775,6,432,-0.5258182504646595,338.63,3.790323521212809,20.4
119,-0.5017019346613759,0.0,10.01,0,0.547,5.731,65.2,2.7592,6,432,-0.5258182504646595,391.5,3.5668306402903864,19.3
120,-0.8820904592188349,0.0,25.65,0,0.581,5.87,69.7,2.2577,2,188,0.13016074611929906,389.15,3.665924985402281,22.0
121,-0.8623348988691174,0.0,25.65,0,0.581,6.004,84.1,2.1974,2,188,0.13016074611929906,377.67,3.653121025966914,20.3
122,-0.7271783221304948,0.0,25.65,0,0.581,5.961,92.9,2.0869,2,188,0.13016074611929906,378.09,4.082476897193799,20.5
123,-0.48253518880957363,0.0,25.65,0,0.581,5.856,97.0,1.9444,2,188,0.13016074611929906,370.31,4.782794509467627,17.3
124,-0.6976190064139699,0.0,25.65,0,0.581,5.879,95.8,2.0063,2,188,0.13016074611929906,379.38,4.044518184542007,18.8
125,-0.4239706808335032,0.0,25.65,0,0.581,5.9860000000000015,88.4,1.9929,2,188,0.13016074611929906,385.02,3.7214583160520016,21.4
126,-0.01881375014226065,0.0,25.65,0,0.581,5.6129999999999995,95.6,1.7572,2,188,0.13016074611929906,359.29,4.930811584608573,15.7
127,-0.21285379363741716,0.0,21.89,0,0.624,5.693,96.0,1.7883,4,437,1.6215019203667385,392.11,4.001527565087948,16.2
128,-0.10236415024712071,0.0,21.89,0,0.624,6.431,98.8,1.8125,4,437,1.6215019203667385,396.9,3.792746912954842,18.0
129,0.3641341056682525,0.0,21.89,0,0.624,5.6370000000000005,94.7,1.9799,4,437,1.6215019203667385,396.9,4.126221873851295,14.3
130,-0.08119217695825387,0.0,21.89,0,0.624,6.4579999999999975,98.9,2.1185,4,437,1.6215019203667385,395.04,3.4282995576218065,19.2
131,0.5004416053733126,0.0,21.89,0,0.624,6.3260000000000005,97.7,2.271,4,437,1.6215019203667385,396.9,3.379735929099425,19.6
132,0.17961493691193223,0.0,21.89,0,0.624,6.372000000000001,97.9,2.3274,4,437,1.6215019203667385,385.76,3.20891566525264,23.0
133,-0.09590717390442903,0.0,21.89,0,0.624,5.822,95.4,2.4699,4,437,1.6215019203667385,388.69,3.748748438163015,18.4
134,0.41046616770001193,0.0,21.89,0,0.624,5.7570000000000014,98.4,2.346,4,437,1.6215019203667385,262.76,4.014834975288958,15.6
135,0.1533835318355315,0.0,21.89,0,0.624,6.335,98.2,2.1107,4,437,1.6215019203667385,394.67,3.975819867988802,18.1
136,-0.10651580166124164,0.0,21.89,0,0.624,5.942,93.5,1.9669,4,437,1.6215019203667385,378.25,3.969069265020972,17.4
137,-0.06416483170144945,0.0,21.89,0,0.624,6.454,98.4,1.8498,4,437,1.6215019203667385,394.08,3.693853319884424,17.1
138,-0.2308131697481034,0.0,21.89,0,0.624,5.857,98.2,1.6686,4,437,1.6215019203667385,392.04,4.42334872882577,13.3
139,0.14213510198574952,0.0,21.89,0,0.624,6.151,97.9,1.6687,4,437,1.6215019203667385,396.9,4.138882311074154,17.8
140,-0.1566070761344211,0.0,21.89,0,0.624,6.1739999999999995,93.6,1.6119,4,437,1.6215019203667385,388.08,4.678000889976308,14.0
141,0.6378899136648379,0.0,21.89,0,0.624,5.019,100.0,1.4394,4,437,1.6215019203667385,396.9,5.438686385484125,14.4
142,0.9424807864434482,0.0,19.58,1,0.871,5.403,100.0,1.3216,5,403,-1.5470145723649098,396.9,4.896327639724135,13.4
143,1.0297555423923825,0.0,19.58,0,0.871,5.468,100.0,1.4118,5,403,-1.5470145723649098,396.9,4.864597395119153,15.6
144,0.8676897997248779,0.0,19.58,0,0.871,4.9030000000000005,97.8,1.3459,5,403,-1.5470145723649098,396.9,5.084557398025922,11.8
145,0.8016311596916379,0.0,19.58,0,0.871,6.13,100.0,1.4191,5,403,-1.5470145723649098,172.91,4.97255019151508,13.8
146,0.7592427125802406,0.0,19.58,0,0.871,5.627999999999999,100.0,1.5166,5,403,-1.5470145723649098,169.27,3.9407409239650804,15.6
147,0.7997036468919867,0.0,19.58,0,0.871,4.926,95.7,1.4608,5,403,-1.5470145723649098,391.71,5.102184995078214,14.6
148,0.7928634140716326,0.0,19.58,0,0.871,5.186,93.8,1.5296,5,403,-1.5470145723649098,356.99,5.012155308465074,17.8
149,0.8606688426751796,0.0,19.58,0,0.871,5.597,94.9,1.5257,5,403,-1.5470145723649098,351.85,4.435560832940204,15.4
150,0.6453271779618444,0.0,19.58,0,0.871,6.122000000000001,97.3,1.618,5,403,-1.5470145723649098,372.8,3.6311943763592582,21.5
151,0.6007470242274092,0.0,19.58,0,0.871,5.404,100.0,1.5916,5,403,-1.5470145723649098,341.6,3.5224680006766405,19.6
152,0.4748776549742384,0.0,19.58,1,0.871,5.012,88.0,1.6102,5,403,-1.5470145723649098,343.28,3.3594365009651552,15.3
153,0.7580712246464859,0.0,19.58,0,0.871,5.709,98.5,1.6232,5,403,-1.5470145723649098,261.95,3.8407115984920046,19.4
154,0.5757852579630759,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403,-1.5470145723649098,321.02,3.7598237162901924,17.0
155,0.9685339130198567,0.0,19.58,1,0.871,6.152,82.6,1.7455,5,403,-1.5470145723649098,88.01,3.7475146929849754,15.6
156,0.8135320278524003,0.0,19.58,0,0.871,5.272,94.0,1.7364,5,403,-1.5470145723649098,88.63,3.881916952017599,13.1
157,0.5117394180506586,0.0,19.58,0,0.605,6.943,97.4,1.8773,5,403,-1.5470145723649098,363.43,1.8217897928575861,41.3
158,0.5530187347939287,0.0,19.58,0,0.605,6.066,100.0,1.7573,5,403,-1.5470145723649098,353.89,2.3175481733190244,24.3
159,0.5792555222133096,0.0,19.58,0,0.871,6.51,100.0,1.7659,5,403,-1.5470145723649098,364.31,2.533560153405909,23.3
160,0.5295032941781129,0.0,19.58,1,0.605,6.25,92.6,1.7984,5,403,-1.5470145723649098,338.92,2.083052551080709,27.0
161,0.5909505880829988,0.0,19.58,0,0.605,7.489,90.8,1.9709,5,403,-1.5470145723649098,374.43,0.5838057055257075,50.0
162,0.6895545202744774,0.0,19.58,1,0.605,7.8020000000000005,98.2,2.0407,5,403,-1.5470145723649098,389.61,0.7032778368883041,50.0
163,0.6073614431346269,0.0,19.58,1,0.605,8.375,93.9,2.162,5,403,-1.5470145723649098,388.45,1.3799664400238056,50.0
